location,recommended_foundation,suitability_score,building_height,area,3d_model_path,model_details
Loc1,Deep Foundation,55,16,4588,models/3D_Model_1.obj,"{""vertices"": 460, ""faces"": 853}"
Loc2,Shallow Foundation,57,21,3121,models/3D_Model_2.obj,"{""vertices"": 915, ""faces"": 1991}"
Loc3,Standard Foundation,80,45,4965,models/3D_Model_3.obj,"{""vertices"": 891, ""faces"": 1567}"
Loc4,Deep Foundation,99,34,3750,models/3D_Model_4.obj,"{""vertices"": 386, ""faces"": 1055}"
Loc5,Shallow Foundation,64,26,4119,models/3D_Model_5.obj,"{""vertices"": 644, ""faces"": 1784}"
Loc6,Deep Foundation,72,31,3051,models/3D_Model_6.obj,"{""vertices"": 704, ""faces"": 1693}"
Loc7,Standard Foundation,98,13,4455,models/3D_Model_7.obj,"{""vertices"": 534, ""faces"": 1116}"
Loc8,Standard Foundation,95,9,2989,models/3D_Model_8.obj,"{""vertices"": 1000, ""faces"": 1486}"
Loc9,Shallow Foundation,88,35,519,models/3D_Model_9.obj,"{""vertices"": 440, ""faces"": 1451}"
Loc10,Shallow Foundation,57,45,3746,models/3D_Model_10.obj,"{""vertices"": 950, ""faces"": 1936}"
Loc11,Deep Foundation,50,30,1375,models/3D_Model_11.obj,"{""vertices"": 512, ""faces"": 1322}"
Loc12,Standard Foundation,51,25,4856,models/3D_Model_12.obj,"{""vertices"": 853, ""faces"": 1038}"
Loc13,Deep Foundation,92,44,2641,models/3D_Model_13.obj,"{""vertices"": 796, ""faces"": 1059}"
Loc14,Standard Foundation,100,23,4475,models/3D_Model_14.obj,"{""vertices"": 763, ""faces"": 516}"
Loc15,Standard Foundation,96,18,588,models/3D_Model_15.obj,"{""vertices"": 334, ""faces"": 572}"
Loc16,Deep Foundation,68,21,2103,models/3D_Model_16.obj,"{""vertices"": 467, ""faces"": 1921}"
Loc17,Standard Foundation,53,9,1138,models/3D_Model_17.obj,"{""vertices"": 553, ""faces"": 651}"
Loc18,Standard Foundation,93,6,4258,models/3D_Model_18.obj,"{""vertices"": 672, ""faces"": 1806}"
Loc19,Shallow Foundation,97,19,4351,models/3D_Model_19.obj,"{""vertices"": 657, ""faces"": 1655}"
Loc20,Deep Foundation,56,17,3980,models/3D_Model_20.obj,"{""vertices"": 894, ""faces"": 1567}"
Loc21,Deep Foundation,86,21,4746,models/3D_Model_21.obj,"{""vertices"": 727, ""faces"": 1883}"
Loc22,Deep Foundation,62,30,3418,models/3D_Model_22.obj,"{""vertices"": 683, ""faces"": 716}"
Loc23,Deep Foundation,91,49,2162,models/3D_Model_23.obj,"{""vertices"": 994, ""faces"": 894}"
Loc24,Standard Foundation,80,41,791,models/3D_Model_24.obj,"{""vertices"": 797, ""faces"": 506}"
Loc25,Deep Foundation,66,16,1901,models/3D_Model_25.obj,"{""vertices"": 813, ""faces"": 1289}"
Loc26,Shallow Foundation,90,34,519,models/3D_Model_26.obj,"{""vertices"": 705, ""faces"": 1679}"
Loc27,Shallow Foundation,60,48,1902,models/3D_Model_27.obj,"{""vertices"": 515, ""faces"": 828}"
Loc28,Deep Foundation,65,45,2657,models/3D_Model_28.obj,"{""vertices"": 930, ""faces"": 1702}"
Loc29,Standard Foundation,68,31,3017,models/3D_Model_29.obj,"{""vertices"": 597, ""faces"": 1113}"
Loc30,Shallow Foundation,74,30,1897,models/3D_Model_30.obj,"{""vertices"": 738, ""faces"": 1161}"
Loc31,Deep Foundation,66,38,3452,models/3D_Model_31.obj,"{""vertices"": 633, ""faces"": 1833}"
Loc32,Deep Foundation,77,42,1988,models/3D_Model_32.obj,"{""vertices"": 317, ""faces"": 1159}"
Loc33,Shallow Foundation,77,21,856,models/3D_Model_33.obj,"{""vertices"": 659, ""faces"": 524}"
Loc34,Shallow Foundation,68,39,1613,models/3D_Model_34.obj,"{""vertices"": 902, ""faces"": 1648}"
Loc35,Shallow Foundation,76,40,2553,models/3D_Model_35.obj,"{""vertices"": 439, ""faces"": 916}"
Loc36,Shallow Foundation,73,42,1038,models/3D_Model_36.obj,"{""vertices"": 481, ""faces"": 1102}"
Loc37,Standard Foundation,60,32,4913,models/3D_Model_37.obj,"{""vertices"": 615, ""faces"": 652}"
Loc38,Shallow Foundation,91,39,4322,models/3D_Model_38.obj,"{""vertices"": 371, ""faces"": 629}"
Loc39,Deep Foundation,67,8,1727,models/3D_Model_39.obj,"{""vertices"": 922, ""faces"": 1788}"
Loc40,Shallow Foundation,84,7,3276,models/3D_Model_40.obj,"{""vertices"": 653, ""faces"": 1637}"
Loc41,Standard Foundation,65,24,4615,models/3D_Model_41.obj,"{""vertices"": 716, ""faces"": 981}"
Loc42,Deep Foundation,92,27,616,models/3D_Model_42.obj,"{""vertices"": 674, ""faces"": 1025}"
Loc43,Standard Foundation,68,21,4801,models/3D_Model_43.obj,"{""vertices"": 707, ""faces"": 1739}"
Loc44,Standard Foundation,53,41,3183,models/3D_Model_44.obj,"{""vertices"": 555, ""faces"": 1133}"
Loc45,Shallow Foundation,52,6,1181,models/3D_Model_45.obj,"{""vertices"": 573, ""faces"": 999}"
Loc46,Deep Foundation,86,37,3097,models/3D_Model_46.obj,"{""vertices"": 372, ""faces"": 1172}"
Loc47,Standard Foundation,87,30,1048,models/3D_Model_47.obj,"{""vertices"": 847, ""faces"": 1763}"
Loc48,Deep Foundation,99,27,3651,models/3D_Model_48.obj,"{""vertices"": 326, ""faces"": 893}"
Loc49,Standard Foundation,76,7,3089,models/3D_Model_49.obj,"{""vertices"": 783, ""faces"": 1893}"
Loc50,Standard Foundation,72,25,1332,models/3D_Model_50.obj,"{""vertices"": 893, ""faces"": 1886}"
Loc51,Shallow Foundation,59,10,2939,models/3D_Model_51.obj,"{""vertices"": 338, ""faces"": 589}"
Loc52,Shallow Foundation,75,30,2992,models/3D_Model_52.obj,"{""vertices"": 477, ""faces"": 1777}"
Loc53,Standard Foundation,52,6,2297,models/3D_Model_53.obj,"{""vertices"": 453, ""faces"": 1888}"
Loc54,Shallow Foundation,58,44,1626,models/3D_Model_54.obj,"{""vertices"": 490, ""faces"": 1236}"
Loc55,Shallow Foundation,69,30,4724,models/3D_Model_55.obj,"{""vertices"": 358, ""faces"": 1836}"
Loc56,Deep Foundation,83,31,4172,models/3D_Model_56.obj,"{""vertices"": 519, ""faces"": 1164}"
Loc57,Deep Foundation,92,13,2911,models/3D_Model_57.obj,"{""vertices"": 405, ""faces"": 1626}"
Loc58,Shallow Foundation,62,15,1863,models/3D_Model_58.obj,"{""vertices"": 452, ""faces"": 510}"
Loc59,Deep Foundation,56,49,3994,models/3D_Model_59.obj,"{""vertices"": 918, ""faces"": 676}"
Loc60,Standard Foundation,52,39,2401,models/3D_Model_60.obj,"{""vertices"": 616, ""faces"": 966}"
Loc61,Deep Foundation,52,18,2449,models/3D_Model_61.obj,"{""vertices"": 564, ""faces"": 620}"
Loc62,Shallow Foundation,82,20,3354,models/3D_Model_62.obj,"{""vertices"": 764, ""faces"": 1814}"
Loc63,Shallow Foundation,71,23,2805,models/3D_Model_63.obj,"{""vertices"": 844, ""faces"": 693}"
Loc64,Standard Foundation,89,38,1914,models/3D_Model_64.obj,"{""vertices"": 895, ""faces"": 537}"
Loc65,Shallow Foundation,54,42,2236,models/3D_Model_65.obj,"{""vertices"": 681, ""faces"": 1712}"
Loc66,Standard Foundation,69,26,3202,models/3D_Model_66.obj,"{""vertices"": 937, ""faces"": 643}"
Loc67,Standard Foundation,74,46,3066,models/3D_Model_67.obj,"{""vertices"": 766, ""faces"": 717}"
Loc68,Shallow Foundation,53,14,1377,models/3D_Model_68.obj,"{""vertices"": 446, ""faces"": 1086}"
Loc69,Deep Foundation,55,41,3502,models/3D_Model_69.obj,"{""vertices"": 783, ""faces"": 1218}"
Loc70,Standard Foundation,62,27,1876,models/3D_Model_70.obj,"{""vertices"": 998, ""faces"": 717}"
Loc71,Deep Foundation,70,41,1521,models/3D_Model_71.obj,"{""vertices"": 501, ""faces"": 1312}"
Loc72,Deep Foundation,74,48,1396,models/3D_Model_72.obj,"{""vertices"": 328, ""faces"": 1611}"
Loc73,Standard Foundation,76,15,1472,models/3D_Model_73.obj,"{""vertices"": 846, ""faces"": 842}"
Loc74,Standard Foundation,92,9,4273,models/3D_Model_74.obj,"{""vertices"": 664, ""faces"": 1295}"
Loc75,Shallow Foundation,64,11,4937,models/3D_Model_75.obj,"{""vertices"": 639, ""faces"": 1030}"
Loc76,Shallow Foundation,86,6,2274,models/3D_Model_76.obj,"{""vertices"": 825, ""faces"": 522}"
Loc77,Shallow Foundation,50,40,1772,models/3D_Model_77.obj,"{""vertices"": 723, ""faces"": 1246}"
Loc78,Shallow Foundation,51,50,1561,models/3D_Model_78.obj,"{""vertices"": 692, ""faces"": 1307}"
Loc79,Standard Foundation,65,19,3951,models/3D_Model_79.obj,"{""vertices"": 583, ""faces"": 898}"
Loc80,Standard Foundation,71,34,1139,models/3D_Model_80.obj,"{""vertices"": 360, ""faces"": 1499}"
Loc81,Standard Foundation,61,27,1994,models/3D_Model_81.obj,"{""vertices"": 841, ""faces"": 1219}"
Loc82,Standard Foundation,50,7,3600,models/3D_Model_82.obj,"{""vertices"": 315, ""faces"": 1929}"
Loc83,Standard Foundation,55,5,4826,models/3D_Model_83.obj,"{""vertices"": 563, ""faces"": 1181}"
Loc84,Shallow Foundation,94,7,4814,models/3D_Model_84.obj,"{""vertices"": 899, ""faces"": 980}"
Loc85,Standard Foundation,91,47,4227,models/3D_Model_85.obj,"{""vertices"": 678, ""faces"": 1772}"
Loc86,Standard Foundation,72,32,4746,models/3D_Model_86.obj,"{""vertices"": 659, ""faces"": 752}"
Loc87,Shallow Foundation,62,5,4678,models/3D_Model_87.obj,"{""vertices"": 364, ""faces"": 1445}"
Loc88,Deep Foundation,85,45,640,models/3D_Model_88.obj,"{""vertices"": 580, ""faces"": 1273}"
Loc89,Deep Foundation,65,27,4429,models/3D_Model_89.obj,"{""vertices"": 800, ""faces"": 1971}"
Loc90,Deep Foundation,96,5,4686,models/3D_Model_90.obj,"{""vertices"": 537, ""faces"": 1924}"
Loc91,Shallow Foundation,81,43,600,models/3D_Model_91.obj,"{""vertices"": 936, ""faces"": 1724}"
Loc92,Standard Foundation,81,14,567,models/3D_Model_92.obj,"{""vertices"": 634, ""faces"": 1230}"
Loc93,Shallow Foundation,81,20,3561,models/3D_Model_93.obj,"{""vertices"": 993, ""faces"": 800}"
Loc94,Deep Foundation,70,10,989,models/3D_Model_94.obj,"{""vertices"": 490, ""faces"": 1521}"
Loc95,Standard Foundation,69,46,2387,models/3D_Model_95.obj,"{""vertices"": 643, ""faces"": 1030}"
Loc96,Shallow Foundation,90,26,4456,models/3D_Model_96.obj,"{""vertices"": 757, ""faces"": 799}"
Loc97,Standard Foundation,84,10,4079,models/3D_Model_97.obj,"{""vertices"": 549, ""faces"": 607}"
Loc98,Shallow Foundation,58,10,2393,models/3D_Model_98.obj,"{""vertices"": 564, ""faces"": 1605}"
Loc99,Shallow Foundation,100,29,2132,models/3D_Model_99.obj,"{""vertices"": 962, ""faces"": 1915}"
Loc100,Shallow Foundation,58,47,4623,models/3D_Model_100.obj,"{""vertices"": 391, ""faces"": 1563}"
Loc101,Standard Foundation,87,12,2514,models/3D_Model_101.obj,"{""vertices"": 951, ""faces"": 1373}"
Loc102,Deep Foundation,67,49,1142,models/3D_Model_102.obj,"{""vertices"": 621, ""faces"": 827}"
Loc103,Shallow Foundation,62,45,4792,models/3D_Model_103.obj,"{""vertices"": 959, ""faces"": 1871}"
Loc104,Deep Foundation,70,36,4243,models/3D_Model_104.obj,"{""vertices"": 970, ""faces"": 1582}"
Loc105,Standard Foundation,66,19,1279,models/3D_Model_105.obj,"{""vertices"": 756, ""faces"": 538}"
Loc106,Deep Foundation,51,27,3420,models/3D_Model_106.obj,"{""vertices"": 585, ""faces"": 858}"
Loc107,Shallow Foundation,70,24,3361,models/3D_Model_107.obj,"{""vertices"": 722, ""faces"": 1525}"
Loc108,Shallow Foundation,83,48,1295,models/3D_Model_108.obj,"{""vertices"": 403, ""faces"": 953}"
Loc109,Deep Foundation,62,34,1019,models/3D_Model_109.obj,"{""vertices"": 328, ""faces"": 1535}"
