Latitude,Longitude,Soil_Type,Green_Building_Suggestion,Hazard_Risk
22.614985,88.332075,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.",Medium
21.218683,72.829974,Rocky,"Incorporate earthbag construction, energy-efficient lighting, and low VOC materials.",Low
13.035671,80.295582,Clayey,"Install rain gardens, pervious pavements, and green insulation.",Medium
22.606464,88.320559,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.",Medium
21.215306,72.808718,Rocky,"Incorporate earthbag construction, energy-efficient lighting, and low VOC materials.",Low
26.864587,75.738641,Sandy,"Use bamboo structures, bio-climatic architecture, and thermal insulation.",High
26.939606,75.775031,Sandy,"Use bamboo structures, bio-climatic architecture, and thermal insulation.",High
12.922129,77.611099,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.",Low
21.174074,72.797803,Rocky,"Incorporate earthbag construction, energy-efficient lighting, and low VOC materials.",Low
13.043555,80.22838,Clayey,"Install rain gardens, pervious pavements, and green insulation.",Medium
26.948714,75.81611,Sandy,"Use bamboo structures, bio-climatic architecture, and thermal insulation.",High
13.105466,80.276929,Clayey,"Install rain gardens, pervious pavements, and green insulation.",Medium
17.409375,78.49878,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.",Medium
22.595894,88.319634,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.",Medium
13.119181,80.264642,Clayey,"Install rain gardens, pervious pavements, and green insulation.",Medium
13.092148,80.284037,Clayey,"Install rain gardens, pervious pavements, and green insulation.",Medium
22.568288,88.339935,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.",Medium
28.728836,77.131062,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.",High
28.657122,77.14707,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.",High
21.130959,72.854619,Rocky,"Incorporate earthbag construction, energy-efficient lighting, and low VOC materials.",Low
19.10652,72.863403,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",High
28.672194,77.103097,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.",High
19.099293,72.847477,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",High
28.725184,77.084377,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.",High
19.091968,72.844474,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",High
12.966409,77.547539,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.",Low
13.119695,80.240248,Clayey,"Install rain gardens, pervious pavements, and green insulation.",Medium
26.931725,75.810306,Sandy,"Use bamboo structures, bio-climatic architecture, and thermal insulation.",High
21.171471,72.799957,Rocky,"Incorporate earthbag construction, energy-efficient lighting, and low VOC materials.",Low
22.566184,88.342781,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.",Medium
13.12666,80.287714,Clayey,"Install rain gardens, pervious pavements, and green insulation.",Medium
26.911338,75.799595,Sandy,"Use bamboo structures, bio-climatic architecture, and thermal insulation.",High
12.928022,77.606575,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.",Low
17.426343,78.511229,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.",Medium
