Latitude,Longitude,Soil_Type,Green_Building_Suggestion,Reason,Seismic_Zone
13.125333,80.367732,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
12.87286,77.629023,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
26.921343,75.854296,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone V (Very High Risk)
12.873999,77.534966,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
13.07577,80.316572,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
22.587057,88.323105,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
17.401469,78.524153,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
13.102231,80.325242,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
22.667514,88.313733,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
13.168173,80.194912,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
17.395394,78.508332,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
26.999898,75.738428,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone V (Very High Risk)
26.911416,75.800352,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone V (Very High Risk)
26.96069,75.766514,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone V (Very High Risk)
26.832892,75.874708,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone V (Very High Risk)
19.17295,72.962925,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
13.028013,80.344336,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
17.430127,78.437555,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
21.11023,72.855893,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone III (Moderate Risk)
26.906721,75.831979,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone V (Very High Risk)
22.514394,88.421692,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
13.055184,77.547575,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
19.062745,72.786245,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
17.381795,78.396275,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
12.995439,77.619356,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
13.06101,80.279138,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
12.985815,77.630891,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
17.478886,78.520354,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
19.139248,72.806893,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
