Latitude,Longitude,Seismic_Zone,Seismic_Zone_Reason,Green_Building_Suggestion,Green_Building_Reason
28.087629300957904,73.48346990305181,Zone 4,Severe damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
29.38381531466313,81.09442074772547,Zone 4,Severe damage risk,Natural Ventilation,Reduces the need for artificial cooling and improves air quality.
19.15238278118855,85.35877625788441,Zone 2,Low damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
11.72861272216295,76.83812949216681,Zone 4,Severe damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
21.419056504879265,94.61726284822598,Zone 4,Severe damage risk,Rainwater Harvesting,Helps in water conservation and reduces dependence on groundwater.
22.52378657917608,86.17901107828888,Zone 4,Severe damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
16.337366042342666,80.90082153852593,Zone 5,Very severe damage risk,Green Roofs,Reduces urban heat and improves insulation.
20.600194407044214,94.67989678713644,Zone 2,Low damage risk,Natural Ventilation,Reduces the need for artificial cooling and improves air quality.
16.607977722934454,72.54462525478584,Zone 4,Severe damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
18.076421652348778,79.65892484121679,Zone 3,Moderate damage risk,Energy-efficient Lighting,Uses LED lights to reduce energy consumption.
31.96208514734204,85.60984414715918,Zone 5,Very severe damage risk,Solar Panels,Utilizes renewable energy to reduce carbon footprint.
9.787403777881503,86.86090082108481,Zone 3,Moderate damage risk,Sustainable Materials,"Using bamboo, recycled wood, and other eco-friendly materials."
24.4648372758474,76.95323213505883,Zone 4,Severe damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
17.449663277522685,94.98657612113949,Zone 3,Moderate damage risk,Sustainable Materials,"Using bamboo, recycled wood, and other eco-friendly materials."
30.647146797953663,69.70065547559783,Zone 3,Moderate damage risk,Solar Panels,Utilizes renewable energy to reduce carbon footprint.
25.13071116887421,94.12965630003004,Zone 4,Severe damage risk,Rainwater Harvesting,Helps in water conservation and reduces dependence on groundwater.
23.45053392300936,76.63469712235523,Zone 2,Low damage risk,Solar Panels,Utilizes renewable energy to reduce carbon footprint.
22.10819065095662,76.1501867000959,Zone 2,Low damage risk,Natural Ventilation,Reduces the need for artificial cooling and improves air quality.
33.23960660935951,72.1479160790646,Zone 3,Moderate damage risk,Rainwater Harvesting,Helps in water conservation and reduces dependence on groundwater.
17.95909066801712,88.56193506964377,Zone 4,Severe damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
18.88401856292385,85.48763889332906,Zone 3,Moderate damage risk,Green Roofs,Reduces urban heat and improves insulation.
35.62297783421781,75.97378975934937,Zone 3,Moderate damage risk,Sustainable Materials,"Using bamboo, recycled wood, and other eco-friendly materials."
14.55067918407671,81.63280534525202,Zone 2,Low damage risk,Sustainable Materials,"Using bamboo, recycled wood, and other eco-friendly materials."
22.19242190223484,84.22799233276925,Zone 2,Low damage risk,Solar Panels,Utilizes renewable energy to reduce carbon footprint.
35.44818884980776,69.72902555290341,Zone 5,Very severe damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
9.326838897739707,70.55898166203332,Zone 5,Very severe damage risk,Rainwater Harvesting,Helps in water conservation and reduces dependence on groundwater.
27.446317037941135,89.17717547726394,Zone 3,Moderate damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
23.640545391232763,75.06423137187478,Zone 4,Severe damage risk,Energy-efficient Lighting,Uses LED lights to reduce energy consumption.
31.230309091179507,79.22760653972195,Zone 5,Very severe damage risk,Sustainable Materials,"Using bamboo, recycled wood, and other eco-friendly materials."
20.02436664824244,69.57776780974882,Zone 3,Moderate damage risk,Green Roofs,Reduces urban heat and improves insulation.
20.52252044708609,85.95433921304289,Zone 5,Very severe damage risk,Green Roofs,Reduces urban heat and improves insulation.
34.03304555991853,84.76789099066993,Zone 2,Low damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
23.48931871216843,78.65657842756461,Zone 3,Moderate damage risk,Sustainable Materials,"Using bamboo, recycled wood, and other eco-friendly materials."
19.05338520648332,72.50333083208646,Zone 5,Very severe damage risk,Natural Ventilation,Reduces the need for artificial cooling and improves air quality.
27.36035876602085,80.73985024918046,Zone 2,Low damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
25.510669367488774,84.90387195598731,Zone 5,Very severe damage risk,Green Roofs,Reduces urban heat and improves insulation.
34.150025015515226,86.72785522069523,Zone 4,Severe damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
31.522407626153978,74.97765118155614,Zone 4,Severe damage risk,Sustainable Materials,"Using bamboo, recycled wood, and other eco-friendly materials."
27.343828499582642,71.3314377919444,Zone 3,Moderate damage risk,Wastewater Recycling,Minimizes water wastage and promotes sustainability.
22.48320318388594,74.42601481053248,Zone 2,Low damage risk,Natural Ventilation,Reduces the need for artificial cooling and improves air quality.
30.137874029279914,94.63874752763925,Zone 2,Low damage risk,Energy-efficient Lighting,Uses LED lights to reduce energy consumption.
36.66097516385414,85.07741270569754,Zone 4,Severe damage risk,Sustainable Materials,"Using bamboo, recycled wood, and other eco-friendly materials."
32.01165131573165,92.4413054577805,Zone 2,Low damage risk,Rainwater Harvesting,Helps in water conservation and reduces dependence on groundwater.
8.875774262827488,95.54282857365834,Zone 2,Low damage risk,Solar Panels,Utilizes renewable energy to reduce carbon footprint.
26.887532565712707,71.83454516587648,Zone 5,Very severe damage risk,Green Roofs,Reduces urban heat and improves insulation.
22.376390830225883,71.17833119841994,Zone 2,Low damage risk,Natural Ventilation,Reduces the need for artificial cooling and improves air quality.
24.447929790291447,72.52270562387893,Zone 2,Low damage risk,Rainwater Harvesting,Helps in water conservation and reduces dependence on groundwater.
11.5449203186282,84.88393060968217,Zone 2,Low damage risk,Rainwater Harvesting,Helps in water conservation and reduces dependence on groundwater.
25.89887946804056,78.9451831795167,Zone 4,Severe damage risk,Rainwater Harvesting,Helps in water conservation and reduces dependence on groundwater.
35.98954998598721,91.70307843988903,Zone 3,Moderate damage risk,Rainwater Harvesting,Helps in water conservation and reduces dependence on groundwater.
28.543314918835026,75.6667299908013,Zone 2,Low damage risk,Energy-efficient Lighting,Uses LED lights to reduce energy consumption.
29.699340005651035,84.25695185665428,Zone 5,Very severe damage risk,Natural Ventilation,Reduces the need for artificial cooling and improves air quality.
33.690887205477054,78.30773386615802,Zone 2,Low damage risk,Solar Panels,Utilizes renewable energy to reduce carbon footprint.
34.40374465641829,71.72417842486759,Zone 2,Low damage risk,Natural Ventilation,Reduces the need for artificial cooling and improves air quality.
14.79866559675595,89.58821213125447,Zone 3,Moderate damage risk,Rainwater Harvesting,Helps in water conservation and reduces dependence on groundwater.
24.01238781384505,94.25263720778062,Zone 5,Very severe damage risk,Energy-efficient Lighting,Uses LED lights to reduce energy consumption.
8.829028385339855,96.41588671570085,Zone 2,Low damage risk,Energy-efficient Lighting,Uses LED lights to reduce energy consumption.
